<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20230801,220000,172.9900000
GAZP,60,20230801,230000,173.1700000
GAZP,60,20230802,000000,173.2100000
GAZP,60,20230802,110000,172.9900000
GAZP,60,20230802,120000,173.8700000
GAZP,60,20230802,130000,173.4500000
GAZP,60,20230802,140000,173.4400000
GAZP,60,20230802,150000,174.4400000
GAZP,60,20230802,160000,174.2700000
GAZP,60,20230802,170000,174.8200000
GAZP,60,20230802,180000,174.2000000
GAZP,60,20230802,190000,173.9000000
GAZP,60,20230802,200000,174.4000000
GAZP,60,20230802,210000,174.2200000
GAZP,60,20230802,220000,174.1000000
GAZP,60,20230802,230000,174.0700000
GAZP,60,20230803,000000,174.0700000
GAZP,60,20230803,110000,173.5700000
GAZP,60,20230803,120000,173.9300000
GAZP,60,20230803,130000,174.4000000
GAZP,60,20230803,140000,174.5200000
GAZP,60,20230803,150000,174.4700000
GAZP,60,20230803,160000,176.3100000
GAZP,60,20230803,170000,176.3000000
GAZP,60,20230803,180000,176.3800000
GAZP,60,20230803,190000,176.6300000
GAZP,60,20230803,200000,176.7800000
GAZP,60,20230803,210000,176.5200000
GAZP,60,20230803,220000,176.4900000
GAZP,60,20230803,230000,176.7900000
GAZP,60,20230804,000000,177.1000000
GAZP,60,20230804,110000,177.6800000
GAZP,60,20230804,120000,176.9700000
GAZP,60,20230804,130000,177.5000000
GAZP,60,20230804,140000,177.2700000
GAZP,60,20230804,150000,176.0500000
GAZP,60,20230804,160000,174.9200000
GAZP,60,20230804,170000,175.3000000
GAZP,60,20230804,180000,175.1700000
GAZP,60,20230804,190000,174.2300000
GAZP,60,20230804,200000,173.6600000
GAZP,60,20230804,210000,174.1800000
GAZP,60,20230804,220000,174.0400000
GAZP,60,20230804,230000,173.8300000
GAZP,60,20230805,000000,173.4600000
GAZP,60,20230807,110000,174.4500000
GAZP,60,20230807,120000,175.0100000
GAZP,60,20230807,130000,174.1600000
GAZP,60,20230807,140000,174.6700000
GAZP,60,20230807,150000,174.1100000
GAZP,60,20230807,160000,173.8100000
GAZP,60,20230807,170000,174.2600000
GAZP,60,20230807,180000,173.4800000
GAZP,60,20230807,190000,172.5300000
GAZP,60,20230807,200000,172.8200000
GAZP,60,20230807,210000,172.5100000
GAZP,60,20230807,220000,173.3300000
GAZP,60,20230807,230000,173.2400000
GAZP,60,20230808,000000,172.5200000
GAZP,60,20230808,110000,171.9500000
GAZP,60,20230808,120000,171.5800000
GAZP,60,20230808,130000,171.1400000
GAZP,60,20230808,140000,171.4400000
GAZP,60,20230808,150000,172.1100000
GAZP,60,20230808,160000,171.9200000
GAZP,60,20230808,170000,172.1800000
GAZP,60,20230808,180000,172.3900000
GAZP,60,20230808,190000,172.1000000
GAZP,60,20230808,200000,172.5300000
GAZP,60,20230808,210000,172.4300000
GAZP,60,20230808,220000,172.4000000
GAZP,60,20230808,230000,172.5400000
GAZP,60,20230809,000000,172.7100000
GAZP,60,20230809,110000,172.6900000
GAZP,60,20230809,120000,172.7400000
GAZP,60,20230809,130000,172.6100000
GAZP,60,20230809,140000,172.3900000
GAZP,60,20230809,150000,172.7900000
GAZP,60,20230809,160000,172.8600000
GAZP,60,20230809,170000,173.9800000
GAZP,60,20230809,180000,173.7700000
GAZP,60,20230809,190000,173.3000000
GAZP,60,20230809,200000,173.7000000
GAZP,60,20230809,210000,173.6500000
GAZP,60,20230809,220000,173.7700000
GAZP,60,20230809,230000,174.1100000
GAZP,60,20230810,000000,174.5100000
GAZP,60,20230810,110000,176.1200000
GAZP,60,20230810,120000,175.9400000
GAZP,60,20230810,130000,176.3200000
GAZP,60,20230810,140000,176.1700000
GAZP,60,20230810,150000,176.9000000
GAZP,60,20230810,160000,176.4200000
GAZP,60,20230810,170000,177.1000000
GAZP,60,20230810,180000,176.3500000
GAZP,60,20230810,190000,176.4800000
GAZP,60,20230810,200000,176.2000000
GAZP,60,20230810,210000,176.1300000
GAZP,60,20230810,220000,175.9900000
GAZP,60,20230810,230000,176.5500000
GAZP,60,20230811,000000,176.6500000
GAZP,60,20230811,110000,176.1300000
GAZP,60,20230811,120000,175.6100000
GAZP,60,20230811,130000,175.5600000
GAZP,60,20230811,140000,175.6800000
GAZP,60,20230811,150000,175.8900000
GAZP,60,20230811,160000,176.2000000
GAZP,60,20230811,170000,175.9500000
GAZP,60,20230811,180000,175.9000000
GAZP,60,20230811,190000,175.5000000
GAZP,60,20230811,200000,175.9300000
GAZP,60,20230811,210000,176.1500000
GAZP,60,20230811,220000,175.9600000
GAZP,60,20230811,230000,176.0200000
GAZP,60,20230812,000000,176.3500000
GAZP,60,20230814,110000,179.8400000
GAZP,60,20230814,120000,182.3600000
GAZP,60,20230814,130000,182.8200000
GAZP,60,20230814,140000,183.0400000
GAZP,60,20230814,150000,182.0800000
GAZP,60,20230814,160000,182.0800000
GAZP,60,20230814,170000,182.9900000
GAZP,60,20230814,180000,179.4700000
GAZP,60,20230814,190000,177.0000000
GAZP,60,20230814,200000,177.5500000
GAZP,60,20230814,210000,175.9500000
GAZP,60,20230814,220000,177.2400000
GAZP,60,20230814,230000,176.9200000
GAZP,60,20230815,000000,177.0900000
GAZP,60,20230815,110000,177.9600000
GAZP,60,20230815,120000,178.3800000
GAZP,60,20230815,130000,178.2900000
GAZP,60,20230815,140000,178.5100000
GAZP,60,20230815,150000,178.4300000
GAZP,60,20230815,160000,177.3500000
GAZP,60,20230815,170000,177.6100000
